region,regunit,dweight,pweight,ppltrst,pplfair,pplhlp,sclmeet,inprdsc,sclact,imbgeco,imueclt,imwbcnt,trstprl,trstlgl,trstplt,trstprt,stfgov,stfdem,stfedu,stfhlth,unique_id,nuts1,nuts2,nuts3,F1W,F2W,F3W,F4W,F5W,F1W_scaled,F2W_scaled,F3W_scaled,F4W_scaled,F5W_scaled
SK021,3,0.6032491,0.3159043,3,2,4,3,3,3,2,5,5,4,5,6,5,7,4,3,6,SK67511,SK0,SK02,SK021,-0.891,0.028,0.654,1.543,1.17,0.43951395139513955,0.5181858019281332,0.559462802615303,0.5809378368666905,0.5805804131471105
SK032,3,0.5676871,0.3159043,7,8,8,4,1,2,1,3,2,3,3,4,4,4,4,6,4,SK67555,SK0,SK03,SK032,2.501,-0.36,-0.999,0.319,0.246,0.7448244824482448,0.43317265556529366,0.41341226365082173,0.47098454904779014,0.5033035042234675
SK031,3,1.314928,0.3159043,6,6,7,5,2,3,5,5,6,7,7,7,6,7,7,8,8,SK67574,SK0,SK03,SK031,1.915,0.432,1.727,2.762,3.124,0.6920792079207921,0.6067046450482033,0.6542675384343524,0.6904419690980955,0.7439993309358535
SK022,3,1.3023244,0.3159043,7,6,6,2,3,2,4,3,4,9,9,8,7,7,5,6,3,SK67599,SK0,SK02,SK022,1.847,-0.47,0.277,3.501,2.078,0.6859585958595861,0.409070990359334,0.5261530305707722,0.7568271649299317,0.6565191937777034
SK042,3,1.1093256,0.3159043,2,6,4,6,1,2,3,3,5,2,7,1,2,0,4,6,6,SK67611,SK0,SK04,SK042,-0.379,-0.085,0.198,-1.737,-1.259,0.4855985598559856,0.4934268185801929,0.5191729987630324,0.2862917714696371,0.3774358116584427
SK041,3,0.45472497,0.3159043,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,SK67647,SK0,SK04,SK041,-3.878,-1.383,-2.766,-3.245,-4.096,0.17065706570657066,0.20902716914986857,0.25728927372327265,0.15082644628099173,0.1401689386969976
SK023,3,0.6123648,0.3159043,3,3,3,5,2,3,3,2,3,6,5,5,6,4,5,6,2,SK67665,SK0,SK02,SK023,-0.876,0.251,-0.643,1.508,0.514,0.44086408640864083,0.5670464504820333,0.4448665842021559,0.577793747754222,0.5257171531320566
SK042,3,1.1093256,0.3159043,4,3,5,6,2,2,6,6,5,9,10,8,5,6,8,7,8,SK67772,SK0,SK04,SK042,0.089,0.106,1.805,3.052,3.025,0.5277227722772277,0.5352760736196319,0.6611592154090828,0.7164929931728351,0.735719662122606
SK023,3,1.1110779,0.3159043,0,0,0,4,2,2,0,0,0,6,9,6,5,4,5,7,6,SK67807,SK0,SK02,SK023,-3.342,-0.556,-2.852,1.631,0.904,0.2189018901890189,0.39022787028922,0.24969075808446722,0.5888429752066116,0.5583340302751526
SK032,3,0.60198987,0.3159043,1,3,0,6,3,3,1,3,0,1,3,1,2,1,0,3,0,SK67822,SK0,SK03,SK032,-2.416,0.476,-1.886,-2.072,-3.149,0.30225022502250226,0.6163453111305872,0.3350415267715144,0.256198347107438,0.21936940704190014
